no;Dependen;Independen_1;Independen_2;Independen_3;Independen_4;Independen_5;Independen_6;Independen_7;Independen_8;Independen_9;Independen_10;Independen_11;Independen_12;Independen_13
1;3;36;0;0;3;4;1;3.448988045;0;0;1;1;2.668829488;1
2;1;31;0;0;0;3;1;3.007804855;1;0;0;1;2.911049186;1
3;NA;30;NA;NA;2;4;1;2.813410717;NA;NA;NA;1;3.986130978;NA
4;2;32;0;0;2;4;1;3.510631223;0;1;0;1;2.878550019;1
5;2;52;0;0;0;3;1;1.458615023;0;1;0;1;4.055123849;1
6;3;47;0;1;0;4;1;3.372059004;0;0;1;1;2.750054928;0
7;2;38;NA;NA;2;5;1;1.570217199;0;1;0;1;4.095945844;NA
8;2;38;0;0;0;3;1;3.101092789;0;1;0;1;3.054847461;1
9;NA;44;NA;NA;0;2;0;NA;NA;NA;NA;0;NA;NA
10;1;33;0;0;0;4;0;NA;1;0;0;0;NA;1
11;2;48;0;0;0;3;1;3.404157739;0;1;0;1;NA;1
12;2;38;0;1;0;5;1;3.978162808;0;1;0;1;3.244193633;0
13;2;44;0;0;0;3;1;2.830742173;0;1;0;1;2.040220829;1
14;2;41;0;0;0;4;1;2.486507931;0;1;0;1;3.061872076;1
15;1;43;0;0;0;3;1;2.811930332;1;0;0;1;3.394766491;1
16;2;30;0;0;1;4;1;2.95651156;0;1;0;1;3.442019376;1
17;1;53;0;0;0;2;0;NA;1;0;0;0;NA;1
18;2;25;1;0;0;2;1;2.838728525;0;1;0;1;3.624340933;0
19;1;34;0;0;2;1;0;NA;1;0;0;0;NA;1
20;2;44;1;0;0;4;1;3.043522937;0;1;0;1;3.710283363;0
21;1;43;0;0;0;4;1;2.014903021;1;0;0;0;NA;1
22;3;38;0;1;0;4;0;NA;0;0;1;1;4.02435219;0
23;2;37;1;0;0;5;1;3.128361817;0;1;0;1;3.402798663;0
24;1;49;0;0;0;3;1;NA;1;0;0;1;3.649658741;1
25;2;51;0;0;0;3;1;3.274965292;0;1;0;1;2.762117422;1
26;2;42;0;0;0;4;1;3.159452404;0;1;0;1;4.055123849;1
27;2;44;1;0;0;4;1;3.772261063;0;1;0;1;3.484578991;0
28;2;44;1;0;0;4;1;3.484578991;0;1;0;1;3.772261063;0
29;2;50;0;0;0;3;1;3.117779708;0;1;0;1;2.981204173;1
30;1;46;1;0;0;1;0;NA;1;0;0;1;3.487139811;0
31;2;41;0;0;0;3;1;3.624340933;0;1;0;1;3.005301725;1
32;1;54;0;0;0;3;1;3.081674703;1;0;0;1;4.055123849;1
33;2;51;1;0;0;5;1;3.292983797;0;1;0;1;4.048434861;0
34;1;54;0;0;0;3;1;2.781562758;1;0;0;1;2.702941018;1
35;1;42;0;0;0;5;1;3.767441777;1;0;0;1;3.442019376;1
36;1;41;0;0;0;3;1;0.618397977;1;0;0;1;3.516127348;1
37;NA;54;NA;NA;0;5;1;4.971414581;NA;NA;NA;1;5.035953102;NA
38;2;53;0;1;0;5;1;3.05182174;0;1;0;1;3.321154674;0
39;1;43;0;0;0;3;1;3.113515309;1;0;0;1;3.669461368;1
40;3;35;1;0;1;4;1;3.778491613;0;0;1;1;2.95651156;0
41;1;47;0;0;0;4;1;2.64800816;1;0;0;1;NA;1
42;1;50;0;0;0;2;0;NA;1;0;0;1;2.48490665;1
43;3;41;1;0;0;4;1;3.448988045;0;0;1;1;3.575550769;0
44;1;30;0;0;1;2;1;3.046123719;1;0;0;1;2.834343926;1
45;1;28;0;0;1;3;1;3.085344432;1;0;0;1;3.358637767;1
46;1;36;0;0;0;4;1;3.064725145;1;0;0;1;2.995732274;1
47;1;39;1;0;0;4;0;NA;1;0;0;1;3.218875825;0
48;1;38;1;0;1;4;1;NA;1;0;0;1;3.394766491;0
49;1;36;0;0;0;5;1;2.486507931;1;0;0;1;3.624340933;1
50;NA;31;NA;NA;2;5;1;3.467337184;NA;NA;NA;1;4.199705078;NA
51;2;37;0;1;1;5;0;NA;0;1;0;1;3.693143853;0
52;3;37;0;1;2;5;1;3.124846875;0;0;1;1;3.096273503;0
53;1;49;0;0;0;5;1;NA;1;0;0;1;3.138833117;1
54;3;33;0;1;1;4;1;3.028832222;0;0;1;0;NA;0
55;1;37;1;0;0;2;1;2.486507931;1;0;0;1;2.26336438;0
56;1;42;0;0;1;3;1;NA;1;0;0;1;3.074294596;1
57;1;45;1;0;0;4;0;NA;1;0;0;1;4.403430543;0
58;2;39;1;0;1;5;1;2.10084545;0;1;0;1;3.649658741;0
59;2;54;1;0;0;3;1;2.708050201;0;1;0;1;3.085344432;0
60;1;37;NA;NA;0;3;0;NA;1;0;0;NA;NA;NA
61;2;54;NA;NA;0;4;1;3.649658741;0;1;0;1;4.342805922;NA
62;2;37;1;0;1;5;1;3.986130978;0;1;0;1;3.921592456;0
63;3;43;0;1;0;4;1;3.831980298;0;0;1;1;3.544298225;0
64;2;29;1;0;0;4;1;2.748872196;0;1;0;1;4.690728074;0
65;3;42;0;1;0;3;1;3.457286848;0;0;1;0;NA;0
66;3;41;1;0;0;4;1;3.649658741;0;0;1;1;2.774190004;0
67;1;50;NA;NA;0;3;1;1.663743257;1;0;0;0;NA;NA
68;2;48;0;0;0;4;1;3.767441777;0;1;0;1;4.342805922;1
69;1;52;0;0;0;3;1;3.310683374;1;0;0;1;2.913026448;1
70;1;52;0;0;0;4;1;NA;1;0;0;1;NA;1
71;2;51;0;0;0;3;1;3.138833117;0;1;0;1;1.988927534;1
72;1;54;0;0;0;1;0;NA;1;0;0;1;3.674351354;1
73;2;42;0;0;0;5;1;2.961046716;0;1;0;1;NA;1
74;2;53;0;0;0;4;1;4.012564235;0;1;0;1;3.061872076;1
75;3;29;1;0;0;5;1;4.082522823;0;0;1;1;3.138833117;0
76;2;34;0;1;0;5;1;3.138833117;0;1;0;1;4.082522823;0
77;1;40;0;0;0;3;1;3.138833117;1;0;0;1;NA;1
78;3;42;0;1;1;4;1;3.649658741;0;0;1;1;3.986130978;0
79;1;35;0;0;1;4;1;2.620039324;1;0;0;1;3.361976669;1
80;2;41;1;0;0;5;1;2.959257786;0;1;0;1;2.822980168;0
81;3;46;1;0;0;5;1;3.800231599;0;0;1;1;4.046755599;0
82;3;36;1;0;1;5;1;3.568067538;0;0;1;1;3.487139811;0
83;3;35;1;0;1;4;1;3.872818292;0;0;1;0;NA;0
84;NA;50;0;1;0;3;1;3.86550299;NA;NA;NA;1;3.852599585;0
85;3;47;0;1;0;3;1;3.755019257;0;0;1;1;3.710283363;0
86;2;50;1;0;0;5;1;5.096577724;0;1;0;1;3.074294596;0
87;2;49;1;0;0;3;1;3.313186504;0;1;0;1;3.821508998;0
88;3;48;0;1;0;5;0;NA;0;0;1;1;3.58512022;0
89;2;37;1;0;1;5;1;3.609384842;0;1;0;1;4.342805922;0
90;3;42;0;1;0;4;1;3.670012687;0;0;1;1;3.565818089;0
91;2;34;1;0;0;5;1;3.375221895;0;1;0;1;3.767441777;0
92;NA;34;NA;NA;1;4;1;1.570217199;NA;NA;NA;1;2.26336438;NA
93;1;25;0;0;0;5;1;2.917770732;1;0;0;1;3.651656744;1
94;2;35;1;0;1;4;1;2.95651156;0;1;0;1;3.361976669;0
95;2;37;0;0;0;3;1;3.179655112;0;1;0;1;3.028832222;1
96;NA;33;1;0;0;5;1;3.698448905;NA;NA;NA;1;3.674351354;0
97;1;33;1;0;1;5;0;NA;1;0;0;1;3.274965292;0
98;2;35;0;1;3;4;1;5.298317367;0;1;0;1;4.565949473;0
99;1;27;0;0;1;4;1;2.840998673;1;0;0;1;3.831980298;1
100;2;34;1;0;2;3;1;3.398927233;0;1;0;1;4.150434029;0
101;1;41;1;0;0;4;1;NA;1;0;0;1;NA;0
102;NA;51;NA;NA;0;3;0;NA;NA;NA;NA;NA;NA;NA
